DBPediaURI;searchwrap_q=Gadafi;searchwrap_q=Gadafi.1;searchwrap_q=Gadafi.10;searchwrap_q=Gadafi.11;searchwrap_q=Gadafi.12;searchwrap_q=Gadafi.13;searchwrap_q=Gadafi.14;searchwrap_q=Gadafi.15;searchwrap_q=Gadafi.16;searchwrap_q=Gadafi.17;searchwrap_q=Gadafi.18;searchwrap_q=Gadafi.19;searchwrap_q=Gadafi.2;searchwrap_q=Gadafi.20;searchwrap_q=Gadafi.21;searchwrap_q=Gadafi.22;searchwrap_q=Gadafi.23;searchwrap_q=Gadafi.24;searchwrap_q=Gadafi.25;searchwrap_q=Gadafi.26;searchwrap_q=Gadafi.27;searchwrap_q=Gadafi.28;searchwrap_q=Gadafi.29;searchwrap_q=Gadafi.3;searchwrap_q=Gadafi.30;searchwrap_q=Gadafi.31;searchwrap_q=Gadafi.32;searchwrap_q=Gadafi.33;searchwrap_q=Gadafi.34;searchwrap_q=Gadafi.35;searchwrap_q=Gadafi.36;searchwrap_q=Gadafi.37;searchwrap_q=Gadafi.38;searchwrap_q=Gadafi.39;searchwrap_q=Gadafi.4;searchwrap_q=Gadafi.40;searchwrap_q=Gadafi.41;searchwrap_q=Gadafi.42;searchwrap_q=Gadafi.43;searchwrap_q=Gadafi.44;searchwrap_q=Gadafi.45;searchwrap_q=Gadafi.46;searchwrap_q=Gadafi.47;searchwrap_q=Gadafi.5;searchwrap_q=Gadafi.6;searchwrap_q=Gadafi.7;searchwrap_q=Gadafi.8;searchwrap_q=Gadafi.9
http://dbpedia.org/resource/European_Union;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/TUNISIA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Telesur;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
http://dbpedia.org/resource/TeleSur;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Al_Jazeera;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
http://dbpedia.org/resource/Hugo_Chávez;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/The_Economist;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
http://dbpedia.org/resource/United_Nations_Industrial_Development_Organization;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/John_MCCain;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Arab_World;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
